"Час визита","Визиты","Просмотры","Посетители","Отказы"
"2023-07-02 03:00:00","5358","19919","5247","0.3363195222097798"
"2023-06-25 05:00:00","5355","29902","5268","0.27525676937441645"
"2023-07-13 01:00:00","5348","18510","5213","0.3735976065818998"
"2023-07-21 06:00:00","5347","32899","5292","0.19693285954740974"
"2023-06-16 05:00:00","5343","23479","5231","0.28354856822010105"
"2023-06-02 05:00:00","5339","23065","5237","0.2569769619778985"
"2023-06-21 02:00:00","5339","16663","5160","0.3813448211275519"
"2023-06-13 05:00:00","5337","25889","5209","0.2493910436574855"
"2023-06-15 05:00:00","5337","24725","5233","0.26438073824245834"
"2023-06-22 03:00:00","5324","17476","5205","0.3688955672426747"
"2023-04-11 04:00:00","5307","19529","5203","0.28208027133973995"
"2023-07-12 05:00:00","5302","24502","5212","0.3013956997359487"
"2023-06-25 02:00:00","5300","19401","5140","0.36377358490566036"
"2023-05-07 04:00:00","5297","24040","5103","0.24542193694544082"
"2023-07-04 03:00:00","5296","16653","5200","0.3402567975830816"
"2023-07-25 06:00:00","5293","31899","5233","0.1947855658416777"
"2023-04-17 02:00:00","5292","17435","5177","0.32993197278911557"
"2023-06-20 02:00:00","5292","16387","5131","0.38076341647770223"
"2023-03-09 04:00:00","5290","18387","5175","0.31001890359168244"
"2023-05-19 05:00:00","5289","24200","5183","0.2601626016260163"
"2023-04-13 01:00:00","5286","17033","5086","0.33200908059023837"
"2023-07-24 00:00:00","5286","24085","5232","0.2722285281876655"
"2023-06-17 02:00:00","5285","16920","5146","0.36310312204351936"
"2023-04-06 02:00:00","5268","17046","5131","0.3335231586940015"
"2023-06-24 02:00:00","5268","19119","5148","0.3673120728929385"
"2023-03-04 04:00:00","5260","20198","5154","0.3197718631178707"
"2023-07-05 02:00:00","5260","17890","5168","0.36920152091254754"
"2023-03-15 04:00:00","5253","19455","5169","0.26936988387588046"
"2023-04-12 01:00:00","5248","16796","5069","0.3464176829268293"
"2023-05-23 01:00:00","5247","17606","5142","0.3562035448827901"
"2023-04-18 04:00:00","5243","20227","5139","0.2847606332252527"
"2023-06-27 05:00:00","5243","26354","5177","0.24680526416173942"
"2023-06-18 04:00:00","5234","21952","5106","0.3368360718379824"
"2023-06-29 01:00:00","5233","20310","5084","0.32562583604051215"
"2023-07-11 05:00:00","5227","25419","5162","0.3015113832026019"
"2023-04-08 04:00:00","5225","21843","5078","0.2832535885167464"
"2023-03-24 01:00:00","5212","19159","5066","0.33979278587874134"
"2023-03-23 02:00:00","5211","17087","5039","0.3394741892151218"
"2023-06-07 05:00:00","5208","23817","5112","0.21582181259600614"
"2023-06-03 02:00:00","5189","17438","5058","0.3582578531508961"
"2023-07-12 01:00:00","5185","18911","5073","0.36547733847637415"
"2023-07-14 04:00:00","5184","19213","5119","0.3325617283950617"
"2023-07-03 02:00:00","5183","17658","5090","0.34015049199305414"
